index,income_or_expense,category,original_category,month,year,amount
45,Expense,General & Administrative,"Expenses, Administrative Expense, , Legal Expense - Eviction",March,2023,0.0
46,Expense,General & Administrative,"Expenses, Administrative Expense, , IT Expense",March,2023,2003.51
47,Expense,General & Administrative,"Expenses, Administrative Expense, , Misc. Administrative Exp",March,2023,1059.27
48,Expense,General & Administrative,"Expenses, Administrative Expense, , Miscellaneous Taxes Licenses and Permits",March,2023,0.0
49,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Promotions",March,2023,1823.1
50,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Internet Advertising",March,2023,2212.98
51,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Advertising",March,2023,860.93
52,Expense,Management Fee,"Expenses, Management Fees, , Management Fee",March,2023,22194.98
53,Income,Rent,"Revenue, Rental Revenue, , Gross Rent",April,2023,738009.0
54,Income,Rent,"Revenue, Rental Revenue, , Vacancies Apartments",April,2023,-35269.0
55,Income,Other Income,"Revenue, Rental Revenue, , Delinquency",April,2023,-4890.19
56,Income,Other Income,"Revenue, Other Revenue, , Key Replacement",April,2023,0.0
57,Income,Other Income,"Revenue, Other Revenue, , Laundry & Vending",April,2023,0.0
58,Income,Other Income,"Revenue, Other Revenue, , NSF & Late Charges",April,2023,2962.84
59,Income,Other Income,"Revenue, Other Revenue, , Application Fees",April,2023,2804.93
60,Income,Other Income,"Revenue, Other Revenue, , Damages & Cleaning Fees",April,2023,1979.49
61,Income,Other Income,"Revenue, Other Revenue, , Forfeited Tenant Deposit",April,2023,1136.0
62,Income,Other Income,"Revenue, Other Revenue, , Pet Fees",April,2023,540.0
63,Income,Other Income,"Revenue, Other Revenue, , Water & Sewer Income",April,2023,17707.04
64,Income,Other Income,"Revenue, Other Revenue, , Garage & Parking",April,2023,485.0
65,Income,Other Income,"Revenue, Other Revenue, , Cable Income",April,2023,3294.39
66,Income,Other Income,"Revenue, Other Revenue, , Gas Income",April,2023,4039.59
67,Income,Other Income,"Revenue, Other Revenue, , Electric Income",April,2023,3860.67
68,Income,Other Income,"Revenue, Other Revenue, , Other Revenue",April,2023,573.59
69,Income,Other Income,"Revenue, Other Revenue, , Misc Income",April,2023,1623.51
70,Expense,Real Estate Taxes,"Expenses, Real Estate Taxes and Insurance, , Real Estate Taxes",April,2023,65314.68
71,Expense,Insurance,"Expenses, Real Estate Taxes and Insurance, , Property Liability Insurance",April,2023,18732.75
72,Expense,Utilities,"Expenses, Utilities Expense, , Electricity",April,2023,6812.14
73,Expense,Utilities,"Expenses, Utilities Expense, , Water",April,2023,16753.84
74,Expense,Utilities,"Expenses, Utilities Expense, , Gas",April,2023,7814.22
75,Expense,Utilities,"Expenses, Utilities Expense, , Sewer",April,2023,14112.36
76,Expense,Utilities,"Expenses, Utilities Expense, , Telephone/Answering Service",April,2023,517.63
77,Expense,Payroll,"Expenses, Payroll Expenses, , Manager Payroll",April,2023,5408.13
78,Expense,Payroll,"Expenses, Payroll Expenses, , Grounds Payroll",April,2023,5059.5
79,Expense,Payroll,"Expenses, Payroll Expenses, , Repairs Payroll",April,2023,21440.61
80,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Processing Charge",April,2023,398.14
81,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Taxes",April,2023,4326.82
82,Expense,Payroll,"Expenses, Payroll Expenses, , Health Insurance/Other Benefits",April,2023,3470.35
83,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Grounds Maintenance",April,2023,5152.23
84,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Snow Removal",April,2023,3925.0
85,Expense,Other Expense,"Expenses, Trash Removal, , Garbage & Trash Removal",April,2023,5794.16
86,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Cleaning Supply",April,2023,1265.18
87,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Clean Contract",April,2023,2491.74
88,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Exterminating Contract",April,2023,2537.32
89,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Uniforms/Linen Service",April,2023,0.0
90,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Security Service",April,2023,1810.0
91,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Fire and Security",April,2023,517.66
92,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Repairs Contract",April,2023,2212.25
93,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Misc. Maint./Operating",April,2023,3363.56
94,Expense,General & Administrative,"Expenses, Administrative Expense, , Bank Fees",April,2023,0.0
95,Expense,General & Administrative,"Expenses, Administrative Expense, , Other Renting Expense",April,2023,1845.72
96,Expense,General & Administrative,"Expenses, Administrative Expense, , Office Supplies",April,2023,1119.72
97,Expense,General & Administrative,"Expenses, Administrative Expense, , Postage & Freight",April,2023,0.0
98,Expense,General & Administrative,"Expenses, Administrative Expense, , Legal Expense - Eviction",April,2023,2019.7
99,Expense,General & Administrative,"Expenses, Administrative Expense, , IT Expense",April,2023,2760.48
100,Expense,General & Administrative,"Expenses, Administrative Expense, , Misc. Administrative Exp",April,2023,740.76
101,Expense,General & Administrative,"Expenses, Administrative Expense, , Miscellaneous Taxes Licenses and Permits",April,2023,1858.45
102,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Promotions",April,2023,0.0
103,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Internet Advertising",April,2023,1481.95
104,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Advertising",April,2023,0.0
105,Expense,Management Fee,"Expenses, Management Fees, , Management Fee",April,2023,22392.78
106,Income,Rent,"Revenue, Rental Revenue, , Gross Rent",May,2023,739622.0
107,Income,Rent,"Revenue, Rental Revenue, , Vacancies Apartments",May,2023,-33653.0
108,Income,Other Income,"Revenue, Rental Revenue, , Delinquency",May,2023,-11737.64
109,Income,Other Income,"Revenue, Other Revenue, , Key Replacement",May,2023,20.0
110,Income,Other Income,"Revenue, Other Revenue, , Laundry & Vending",May,2023,2993.13
111,Income,Other Income,"Revenue, Other Revenue, , NSF & Late Charges",May,2023,4536.16
112,Income,Other Income,"Revenue, Other Revenue, , Application Fees",May,2023,2391.0
113,Income,Other Income,"Revenue, Other Revenue, , Damages & Cleaning Fees",May,2023,2670.21
114,Income,Other Income,"Revenue, Other Revenue, , Forfeited Tenant Deposit",May,2023,756.0
115,Income,Other Income,"Revenue, Other Revenue, , Pet Fees",May,2023,495.0
116,Income,Other Income,"Revenue, Other Revenue, , Water & Sewer Income",May,2023,19596.22
117,Income,Other Income,"Revenue, Other Revenue, , Garage & Parking",May,2023,410.0
118,Income,Other Income,"Revenue, Other Revenue, , Cable Income",May,2023,2864.95
119,Income,Other Income,"Revenue, Other Revenue, , Gas Income",May,2023,2958.81
120,Income,Other Income,"Revenue, Other Revenue, , Electric Income",May,2023,2802.23
121,Income,Other Income,"Revenue, Other Revenue, , Other Revenue",May,2023,0.0
122,Income,Other Income,"Revenue, Other Revenue, , Misc Income",May,2023,1341.09
123,Expense,Real Estate Taxes,"Expenses, Real Estate Taxes and Insurance, , Real Estate Taxes",May,2023,65314.68
124,Expense,Insurance,"Expenses, Real Estate Taxes and Insurance, , Property Liability Insurance",May,2023,18732.75
125,Expense,Utilities,"Expenses, Utilities Expense, , Electricity",May,2023,8027.08
126,Expense,Utilities,"Expenses, Utilities Expense, , Water",May,2023,16340.32
127,Expense,Utilities,"Expenses, Utilities Expense, , Gas",May,2023,8356.49
128,Expense,Utilities,"Expenses, Utilities Expense, , Sewer",May,2023,15151.53
129,Expense,Utilities,"Expenses, Utilities Expense, , Telephone/Answering Service",May,2023,764.3
130,Expense,Payroll,"Expenses, Payroll Expenses, , Manager Payroll",May,2023,6342.15
131,Expense,Payroll,"Expenses, Payroll Expenses, , Grounds Payroll",May,2023,5060.98
132,Expense,Payroll,"Expenses, Payroll Expenses, , Repairs Payroll",May,2023,21830.43
133,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Processing Charge",May,2023,209.22
134,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Taxes",May,2023,4515.19
135,Expense,Payroll,"Expenses, Payroll Expenses, , Health Insurance/Other Benefits",May,2023,3102.18
136,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Grounds Maintenance",May,2023,4777.14
137,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Snow Removal",May,2023,0.0
138,Expense,Other Expense,"Expenses, Trash Removal, , Garbage & Trash Removal",May,2023,5740.25
139,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Cleaning Supply",May,2023,903.13
140,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Clean Contract",May,2023,1575.79
141,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Exterminating Contract",May,2023,1026.0
142,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Uniforms/Linen Service",May,2023,0.0
143,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Security Service",May,2023,1910.0
144,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Fire and Security",May,2023,505.0
145,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Repairs Contract",May,2023,3735.06
146,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Misc. Maint./Operating",May,2023,3078.1
147,Expense,General & Administrative,"Expenses, Administrative Expense, , Bank Fees",May,2023,15.0
148,Expense,General & Administrative,"Expenses, Administrative Expense, , Other Renting Expense",May,2023,1147.26
149,Expense,General & Administrative,"Expenses, Administrative Expense, , Office Supplies",May,2023,885.96
150,Expense,General & Administrative,"Expenses, Administrative Expense, , Postage & Freight",May,2023,0.0
151,Expense,General & Administrative,"Expenses, Administrative Expense, , Legal Expense - Eviction",May,2023,0.0
152,Expense,General & Administrative,"Expenses, Administrative Expense, , IT Expense",May,2023,1943.31
153,Expense,General & Administrative,"Expenses, Administrative Expense, , Misc. Administrative Exp",May,2023,473.11
154,Expense,General & Administrative,"Expenses, Administrative Expense, , Miscellaneous Taxes Licenses and Permits",May,2023,0.0
155,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Promotions",May,2023,0.0
156,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Internet Advertising",May,2023,1129.0
157,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Advertising",May,2023,927.81
158,Expense,Management Fee,"Expenses, Management Fees, , Management Fee",May,2023,22154.9
159,Income,Rent,"Revenue, Rental Revenue, , Gross Rent",June,2023,746207.0
160,Income,Rent,"Revenue, Rental Revenue, , Vacancies Apartments",June,2023,-36598.0
161,Income,Other Income,"Revenue, Rental Revenue, , Delinquency",June,2023,-9954.48
162,Income,Other Income,"Revenue, Other Revenue, , Key Replacement",June,2023,0.0
163,Income,Other Income,"Revenue, Other Revenue, , Laundry & Vending",June,2023,0.0
164,Income,Other Income,"Revenue, Other Revenue, , NSF & Late Charges",June,2023,4054.31
165,Income,Other Income,"Revenue, Other Revenue, , Application Fees",June,2023,3164.0
166,Income,Other Income,"Revenue, Other Revenue, , Damages & Cleaning Fees",June,2023,2190.39
167,Income,Other Income,"Revenue, Other Revenue, , Forfeited Tenant Deposit",June,2023,584.0
168,Income,Other Income,"Revenue, Other Revenue, , Pet Fees",June,2023,510.0
169,Income,Other Income,"Revenue, Other Revenue, , Water & Sewer Income",June,2023,20535.92
170,Income,Other Income,"Revenue, Other Revenue, , Garage & Parking",June,2023,435.0
171,Income,Other Income,"Revenue, Other Revenue, , Cable Income",June,2023,3257.72
172,Income,Other Income,"Revenue, Other Revenue, , Gas Income",June,2023,4078.25
173,Income,Other Income,"Revenue, Other Revenue, , Electric Income",June,2023,2638.37
174,Income,Other Income,"Revenue, Other Revenue, , Other Revenue",June,2023,0.0
175,Income,Other Income,"Revenue, Other Revenue, , Misc Income",June,2023,1559.38
176,Expense,Real Estate Taxes,"Expenses, Real Estate Taxes and Insurance, , Real Estate Taxes",June,2023,65314.68
177,Expense,Insurance,"Expenses, Real Estate Taxes and Insurance, , Property Liability Insurance",June,2023,18732.75
178,Expense,Utilities,"Expenses, Utilities Expense, , Electricity",June,2023,8676.54
179,Expense,Utilities,"Expenses, Utilities Expense, , Water",June,2023,16781.51
180,Expense,Utilities,"Expenses, Utilities Expense, , Gas",June,2023,7934.63
181,Expense,Utilities,"Expenses, Utilities Expense, , Sewer",June,2023,12542.92
182,Expense,Utilities,"Expenses, Utilities Expense, , Telephone/Answering Service",June,2023,596.17
183,Expense,Payroll,"Expenses, Payroll Expenses, , Manager Payroll",June,2023,5582.46
184,Expense,Payroll,"Expenses, Payroll Expenses, , Grounds Payroll",June,2023,5102.57
185,Expense,Payroll,"Expenses, Payroll Expenses, , Repairs Payroll",June,2023,21984.61
186,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Processing Charge",June,2023,261.55
187,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Taxes",June,2023,4553.55
188,Expense,Payroll,"Expenses, Payroll Expenses, , Health Insurance/Other Benefits",June,2023,2104.21
189,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Grounds Maintenance",June,2023,4920.88
190,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Snow Removal",June,2023,0.0
191,Expense,Other Expense,"Expenses, Trash Removal, , Garbage & Trash Removal",June,2023,6068.08
192,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Cleaning Supply",June,2023,1139.83
193,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Clean Contract",June,2023,3866.82
194,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Exterminating Contract",June,2023,1129.25
195,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Uniforms/Linen Service",June,2023,0.0
196,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Security Service",June,2023,1885.5
197,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Fire and Security",June,2023,526.12
198,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Repairs Contract",June,2023,2810.2
199,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Misc. Maint./Operating",June,2023,3337.33
200,Expense,General & Administrative,"Expenses, Administrative Expense, , Bank Fees",June,2023,0.0
201,Expense,General & Administrative,"Expenses, Administrative Expense, , Other Renting Expense",June,2023,1575.87
202,Expense,General & Administrative,"Expenses, Administrative Expense, , Office Supplies",June,2023,650.19
203,Expense,General & Administrative,"Expenses, Administrative Expense, , Postage & Freight",June,2023,0.0
204,Expense,General & Administrative,"Expenses, Administrative Expense, , Legal Expense - Eviction",June,2023,0.0
205,Expense,General & Administrative,"Expenses, Administrative Expense, , IT Expense",June,2023,2351.63
206,Expense,General & Administrative,"Expenses, Administrative Expense, , Misc. Administrative Exp",June,2023,809.79
207,Expense,General & Administrative,"Expenses, Administrative Expense, , Miscellaneous Taxes Licenses and Permits",June,2023,0.0
208,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Promotions",June,2023,0.0
209,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Internet Advertising",June,2023,1625.39
210,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Advertising",June,2023,516.35
211,Expense,Management Fee,"Expenses, Management Fees, , Management Fee",June,2023,21946.1
212,Income,Rent,"Revenue, Rental Revenue, , Gross Rent",July,2023,751216.0
213,Income,Rent,"Revenue, Rental Revenue, , Vacancies Apartments",July,2023,-35180.0
214,Income,Other Income,"Revenue, Rental Revenue, , Delinquency",July,2023,-8097.79
215,Income,Other Income,"Revenue, Other Revenue, , Key Replacement",July,2023,65.0
216,Income,Other Income,"Revenue, Other Revenue, , Laundry & Vending",July,2023,2837.92
217,Income,Other Income,"Revenue, Other Revenue, , NSF & Late Charges",July,2023,3271.38
218,Income,Other Income,"Revenue, Other Revenue, , Application Fees",July,2023,2778.0
219,Income,Other Income,"Revenue, Other Revenue, , Damages & Cleaning Fees",July,2023,2365.61
220,Income,Other Income,"Revenue, Other Revenue, , Forfeited Tenant Deposit",July,2023,510.0
221,Income,Other Income,"Revenue, Other Revenue, , Pet Fees",July,2023,470.0
222,Income,Other Income,"Revenue, Other Revenue, , Water & Sewer Income",July,2023,20145.93
223,Income,Other Income,"Revenue, Other Revenue, , Garage & Parking",July,2023,460.0
224,Income,Other Income,"Revenue, Other Revenue, , Cable Income",July,2023,3010.19
225,Income,Other Income,"Revenue, Other Revenue, , Gas Income",July,2023,3807.61
226,Income,Other Income,"Revenue, Other Revenue, , Electric Income",July,2023,3773.21
227,Income,Other Income,"Revenue, Other Revenue, , Other Revenue",July,2023,0.0
228,Income,Other Income,"Revenue, Other Revenue, , Misc Income",July,2023,1335.11
229,Expense,Real Estate Taxes,"Expenses, Real Estate Taxes and Insurance, , Real Estate Taxes",July,2023,65314.68
230,Expense,Insurance,"Expenses, Real Estate Taxes and Insurance, , Property Liability Insurance",July,2023,18732.75
231,Expense,Utilities,"Expenses, Utilities Expense, , Electricity",July,2023,7450.59
232,Expense,Utilities,"Expenses, Utilities Expense, , Water",July,2023,17611.41
233,Expense,Utilities,"Expenses, Utilities Expense, , Gas",July,2023,8526.05
234,Expense,Utilities,"Expenses, Utilities Expense, , Sewer",July,2023,13360.73
235,Expense,Utilities,"Expenses, Utilities Expense, , Telephone/Answering Service",July,2023,581.85
236,Expense,Payroll,"Expenses, Payroll Expenses, , Manager Payroll",July,2023,5670.58
237,Expense,Payroll,"Expenses, Payroll Expenses, , Grounds Payroll",July,2023,5170.44
238,Expense,Payroll,"Expenses, Payroll Expenses, , Repairs Payroll",July,2023,22771.54
239,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Processing Charge",July,2023,102.3
240,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Taxes",July,2023,4484.53
241,Expense,Payroll,"Expenses, Payroll Expenses, , Health Insurance/Other Benefits",July,2023,2803.82
242,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Grounds Maintenance",July,2023,5231.1
243,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Snow Removal",July,2023,0.0
244,Expense,Other Expense,"Expenses, Trash Removal, , Garbage & Trash Removal",July,2023,5928.74
245,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Cleaning Supply",July,2023,1334.17
246,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Clean Contract",July,2023,1148.24
247,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Exterminating Contract",July,2023,1536.57
248,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Uniforms/Linen Service",July,2023,0.0
249,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Security Service",July,2023,1870.0
250,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Fire and Security",July,2023,511.67
251,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Repairs Contract",July,2023,2520.78
252,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Misc. Maint./Operating",July,2023,4178.64
253,Expense,General & Administrative,"Expenses, Administrative Expense, , Bank Fees",July,2023,94.0
254,Expense,General & Administrative,"Expenses, Administrative Expense, , Other Renting Expense",July,2023,1472.95
255,Expense,General & Administrative,"Expenses, Administrative Expense, , Office Supplies",July,2023,1118.37
256,Expense,General & Administrative,"Expenses, Administrative Expense, , Postage & Freight",July,2023,0.0
257,Expense,General & Administrative,"Expenses, Administrative Expense, , Legal Expense - Eviction",July,2023,0.0
258,Expense,General & Administrative,"Expenses, Administrative Expense, , IT Expense",July,2023,2138.92
259,Expense,General & Administrative,"Expenses, Administrative Expense, , Misc. Administrative Exp",July,2023,862.17
260,Expense,General & Administrative,"Expenses, Administrative Expense, , Miscellaneous Taxes Licenses and Permits",July,2023,0.0
261,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Promotions",July,2023,0.0
262,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Internet Advertising",July,2023,1521.64
263,Expense,General & Administrative,"Expenses, Advertising and Promotion, , Advertising",July,2023,709.35
264,Expense,Management Fee,"Expenses, Management Fees, , Management Fee",July,2023,21986.7
265,Income,Rent,"Revenue, Rental Revenue, , Gross Rent",August,2023,755696.0
266,Income,Rent,"Revenue, Rental Revenue, , Vacancies Apartments",August,2023,-38127.0
267,Income,Other Income,"Revenue, Rental Revenue, , Delinquency",August,2023,-10106.46
268,Income,Other Income,"Revenue, Other Revenue, , Key Replacement",August,2023,10.0
269,Income,Other Income,"Revenue, Other Revenue, , Laundry & Vending",August,2023,0.0
270,Income,Other Income,"Revenue, Other Revenue, , NSF & Late Charges",August,2023,3754.19
271,Income,Other Income,"Revenue, Other Revenue, , Application Fees",August,2023,3554.0
272,Income,Other Income,"Revenue, Other Revenue, , Damages & Cleaning Fees",August,2023,2569.27
273,Income,Other Income,"Revenue, Other Revenue, , Forfeited Tenant Deposit",August,2023,470.0
274,Income,Other Income,"Revenue, Other Revenue, , Pet Fees",August,2023,550.0
275,Income,Other Income,"Revenue, Other Revenue, , Water & Sewer Income",August,2023,21174.18
276,Income,Other Income,"Revenue, Other Revenue, , Garage & Parking",August,2023,470.0
277,Income,Other Income,"Revenue, Other Revenue, , Cable Income",August,2023,3334.59
278,Income,Other Income,"Revenue, Other Revenue, , Gas Income",August,2023,3730.98
279,Income,Other Income,"Revenue, Other Revenue, , Electric Income",August,2023,4160.14
280,Income,Other Income,"Revenue, Other Revenue, , Other Revenue",August,2023,0.0
281,Income,Other Income,"Revenue, Other Revenue, , Misc Income",August,2023,1293.24
282,Expense,Real Estate Taxes,"Expenses, Real Estate Taxes and Insurance, , Real Estate Taxes",August,2023,65314.68
283,Expense,Insurance,"Expenses, Real Estate Taxes and Insurance, , Property Liability Insurance",August,2023,18732.75
284,Expense,Utilities,"Expenses, Utilities Expense, , Electricity",August,2023,7858.2
285,Expense,Utilities,"Expenses, Utilities Expense, , Water",August,2023,17801.86
286,Expense,Utilities,"Expenses, Utilities Expense, , Gas",August,2023,8692.56
287,Expense,Utilities,"Expenses, Utilities Expense, , Sewer",August,2023,12833.61
288,Expense,Utilities,"Expenses, Utilities Expense, , Telephone/Answering Service",August,2023,626.11
289,Expense,Payroll,"Expenses, Payroll Expenses, , Manager Payroll",August,2023,5377.36
290,Expense,Payroll,"Expenses, Payroll Expenses, , Grounds Payroll",August,2023,5076.95
291,Expense,Payroll,"Expenses, Payroll Expenses, , Repairs Payroll",August,2023,22938.31
292,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Processing Charge",August,2023,232.08
293,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Taxes",August,2023,4255.08
294,Expense,Payroll,"Expenses, Payroll Expenses, , Health Insurance/Other Benefits",August,2023,3029.33
295,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Grounds Maintenance",August,2023,4934.06
296,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Snow Removal",August,2023,0.0
297,Expense,Other Expense,"Expenses, Trash Removal, , Garbage & Trash Removal",August,2023,6288.39
298,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Cleaning Supply",August,2023,871.21
299,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Clean Contract",August,2023,1962.82
